whole canvas	480 x 580

image		x0	y0	x1	y1
star.png	14.145	393.16	94.895	470.81
one.png		74.815	455.67	155.56	533.32
two.png		155.15	489.61	235.90	567.26
three.png	246.29	489.90	327.04	567.55
four.png	329.39	454.75	410.14	532.40
five.png	387.78	387.27	468.53	464.92
six.png		16.425	172.17	97.175	249.82
seven.png	78.774	109.28	159.52	186.93
eight.png	162.36	80.438	243.11	158.08
nine.png	250.76	81.428	331.51	159.07
zero.png	330.79	118.66	411.54	196.31
hash.png	389.21	182.45	469.96	260.10
quieter.png	12.387	285.43	63.615	365.12
louder.png	416.84	289.44	468.08	368.83
redphone.png	16.486	10.719	105.13	93.300
greenphone.png	371.50	9.446	462.88	94.573
speaker.png	206.84	7.544	288.12	88.824
current.png	70.376	162.28	409.65	487.74
